101651.2,08-10-2010,15:24:52,SetA
Question# ,     Choice
 1 ," $8.50 now"
 2 ,"$10 in 180 days"
 3 ,"$10 in 180 days"
 4 ," $2.00 now"
 5 ," $5.00 now"
 6 ," $9.50 now"
 7 ,"$10 in 180 days"
 8 ," $0.50 now"
 9 ,"$10 in 90 days"
 10 ,"$10 in 7 days"
 11 ,"$10 in 365 days"
 12 ," $10.00 now"
 13 ," $2.00 now"
 14 ," $0.25 now"
 15 ,"$10 in 30 days"
 16 ," $6.00 now"
 17 ,"$10 in 180 days"
 18 ,"$10 in 90 days"
 19 ,"$10 in 90 days"
 20 ,"$10 in 7 days"
 21 ,"$10 in 180 days"
 22 ," $1.00 now"
 23 ,"$10 in 7 days"
 24 ,"$10 in 30 days"
 25 ," $8.00 now"
 26 ," $1.00 now"
 27 ," $0.25 now"
 28 ,"$10 in 180 days"
 29 ,"$10 in 7 days"
 30 ," $3.50 now"
 31 ,"$10 in 365 days"
 32 ,"$10 in 365 days"
 33 ,"$10 in 90 days"
 34 ,"$10 in 30 days"
 35 ," $9.00 now"
 36 ,"$10 in 90 days"
 37 ," $4.50 now"
 38 ," $0.50 now"
 39 ,"$10 in 365 days"
 40 ," $10.50 now"
 41 ,"$10 in 30 days"
 42 ," $10.50 now"
 43 ,"$10 in 180 days"
 44 ,"$10 in 180 days"
 45 ,"$10 in 7 days"
 46 ,"$10 in 180 days"
 47 ," $0.25 now"
 48 ," $6.00 now"
 49 ," $10.00 now"
 50 ,"$10 in 90 days"
 51 ,"$10 in 180 days"
 52 ,"$10 in 365 days"
 53 ," $4.00 now"
 54 ,"$10 in 90 days"
 55 ,"$10 in 180 days"
 56 ,"$10 in 90 days"
 57 ,"$10 in 365 days"
 58 ,"$10 in 30 days"
 59 ,"$10 in 7 days"
 60 ,"$10 in 30 days"
 61 ,"$10 in 7 days"
 62 ,"$10 in 180 days"
 63 ,"$10 now"
 64 ,"$10 in 7 days"
 65 ,"$10 in 7 days"
 66 ," $10.50 now"
 67 ,"$10 in 7 days"
 68 ," $10.00 now"
 69 ," $10.50 now"
 70 ,"$10 in 90 days"
 71 ,"$10 in 7 days"
 72 ,"$10 in 90 days"
 73 ," $10.50 now"
 74 ,"$10 now"
 75 ,"$10 now"
 76 ," $0.25 now"
 77 ,"$10 in 7 days"
 78 ,"$10 in 7 days"
 79 ,"$10 in 180 days"
 80 ,"$10 in 7 days"
 81 ,"$10 in 180 days"
 82 ,"$10 in 365 days"
 83 ," $10.50 now"
 84 ," $4.50 now"
 85 ,"$10 in 30 days"
 86 ,"$10 in 30 days"
 87 ,"$10 now"
 88 ,"$10 in 30 days"
 89 ," $9.50 now"
 90 ,"$10 in 180 days"
 91 ,"$10 in 90 days"
 92 ,"$10 now"
 93 ,"$10 in 365 days"
 94 ,"$10 now"
 95 ,"$10 in 30 days"
 96 ,"$10 in 30 days"
 97 ,"$10 in 30 days"
 98 ,"$10 in 90 days"
 99 ,"$10 now"
 100 ,"$10 in 7 days"
 101 ,"$10 in 90 days"
 102 ,"$10 in 180 days"
 103 ,"$10 in 90 days"
 104 ,"$10 in 365 days"
 105 ,"$10 in 30 days"
 106 ," $0.25 now"
 107 ,"$10 in 30 days"
 108 ,"$10 in 90 days"
 109 ,"$10 in 30 days"
 110 ," $0.25 now"
 111 ," $5.00 now"
 112 ,"$10 now"
 113 ,"$10 in 30 days"
 114 ,"$10 in 90 days"
 115 ,"$10 in 7 days"
 116 ," $8.50 now"
 117 ,"$10 now"
 118 ,"$10 in 30 days"
 119 ,"$10 in 7 days"
 120 ,"$10 in 7 days"
 121 ,"$10 in 90 days"
 122 ," $4.00 now"
 123 ,"$10 in 90 days"
 124 ,"$10 in 365 days"
 125 ,"$10 now"
 126 ,"$10 in 180 days"
 127 ,"$10 in 7 days"
 128 ,"$10 in 180 days"
 129 ,"$10 in 180 days"
 130 ,"$10 in 90 days"
 131 ,"$10 in 180 days"
 132 ,"$10 in 90 days"
 133 ,"$10 in 30 days"
 134 ," $10.00 now"
 135 ,"$10 in 7 days"
 136 ," $3.50 now"
 137 ,"$10 in 30 days"
 138 ,"$10 now"
